[DEBUG] 2019-07-19 21:09:35 [main] UserDaoTest:32 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-19 21:27:19 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:21:57 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:39:26 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:40:06 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:40:56 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:47:01 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:50:12 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:52:36 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:57:10 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 13:59:19 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:00:11 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:00:59 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:05:25 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:10:34 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:13:27 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:16:12 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:18:06 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:20:57 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
[DEBUG] 2019-07-21 14:21:45 [main] UserDaoTest:34 - User [id=1, username=login, password=password]
